,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-1218296,SrEuS2,Trigonal,R-3m,False,0.019115117499996614,-2.4241820026562486,4.0,-9.527503083181964,-9.471713197578808,-9.417868963033245,-9.362382820983214,-9.303321648557965,-9.217002391257132,-9.02412228899234,-8.824625278587352,-8.615581851977282,-8.402116985461419,-8.184186883733863,-7.961799260870287,-7.735001203921257,-7.493578137748245,-7.069852459184357,-6.650423155079936,-6.2285475956067256
mp-1208643,SrHfS3,Orthorhombic,Pnma,True,0.0,-2.0739638116875,5.0,-10.330974938214938,-10.301871187382298,-10.274184575771967,-10.243758167229878,-10.208311848782714,-10.133020265278535,-9.898676197886353,-9.657363011176306,-9.40787386489292,-9.153468376311373,-8.893977275725362,-8.629315372335697,-8.359458351405284,-8.074137864457148,-7.710439034288129,-7.342728384791256,-6.971015727867613
mp-34680,SrNd5S8,Tetragonal,I-4,False,0.021379400357147915,-2.3502094689285746,14.0,-32.27578338716991,-32.064216762664465,-31.85516339408502,-31.63623991036344,-31.400402618069165,-31.055223592684037,-30.28062775699454,-29.48733509447522,-28.6626023025429,-27.812660315372078,-26.918078241473765,-26.004041394876786,-25.07095762321817,-24.108990822566277,-23.05568094840174,-21.985807617886742,-20.899803341396712
mp-1218031,SrPb3S4,Trigonal,R-3m,False,0.00629024374999787,-1.17969244375,8.0,-9.199057047333453,-9.11265282149404,-9.029837260054101,-8.91845001502462,-8.799047289749446,-8.625505655437205,-8.23863089936826,-7.842473200211648,-7.435728654031205,-7.0216388701597126,-6.600033343542709,-6.170834223583551,-5.734039296343781,-5.279402341535455,-4.744040557861844,-4.202355214872725,-3.6543916535230814
mp-1218019,SrPbS2,Trigonal,R-3m,False,0.010413342499996148,-1.5779826562500001,4.0,-6.212245649443233,-6.173916929455838,-6.137356630904848,-6.090601800089066,-6.039826273768771,-5.961484842704522,-5.776345224084196,-5.584618753809139,-5.385330631800164,-5.181909197573637,-4.974299255087793,-4.762490899099237,-4.54651152447841,-4.316123754615046,-4.008434149683708,-3.6978211441172633,-3.3842975623031375
mp-1205419,SrSnS3,Orthorhombic,Pnma,True,0.0,-1.2682026126875001,5.0,-6.248580480406636,-6.205338047825384,-6.149375841992997,-6.0898944434678555,-6.025538235312294,-5.921584468997166,-5.658890184384532,-5.3895926404322765,-5.112524381245176,-4.830975080583878,-4.544804488797009,-4.25394710726551,-3.958397277001886,-3.6479021959871627,-3.2595594241845767,-2.8677499955146217,-2.4724889040310476
mp-1080529,SrTiS3,Hexagonal,P6_3/mmc,True,0.08243712100000344,-1.838744033166666,5.0,-9.124855713129964,-9.088253875083222,-9.053017354732125,-9.015053474615671,-8.972143271162,-8.88948937284358,-8.647853467913404,-8.399237042929508,-8.141071387915723,-7.8757641742489,-7.605697824195589,-7.33075398117953,-7.0508730918255,-6.7557432775741315,-6.382407167570392,-6.0051836099027955,-5.619328309616424
mp-558760,SrZrS3,Orthorhombic,Pnma,True,0.0,-2.083627635000002,5.0,-10.364834193357243,-10.332384430892931,-10.301577749507171,-10.268262395198569,-10.23013545352207,-10.152342549270818,-9.91563500639247,-9.67205162294426,-9.418037007082367,-9.158230265121723,-8.893766993397382,-8.624552673235344,-8.35054433414893,-8.061449789758889,-7.694328252098737,-7.323514115714971,-6.9489840267316065
mp-1217790,Ta(Mo2S5)2,Triclinic,P1,False,0.010175616916665575,-1.2284193368222218,15.0,-18.617984956876228,-18.605362017804854,-18.597318008448916,-18.582418550879446,-18.554390233678195,-18.40044067279059,-17.720792436214495,-17.034393446338395,-16.339226540430776,-15.633919095994735,-14.917548213482815,-14.189480541568056,-13.449314069344894,-12.696764039510079,-11.931642072721331,-11.153822368838277,-10.363226056573446
mp-1205503,Ta(SnS)2,Hexagonal,P6_3/mmc,False,0.0808526929999962,-0.796158441466666,5.0,-3.9479971290293134,-3.926074654585517,-3.879944610860119,-3.8311079359800235,-3.7786184030682057,-3.699252460361851,-3.512691835498323,-3.322543964146912,-3.1283264709948693,-2.9297434983730835,-2.7266345862347894,-2.518921280579253,-2.3065953313426544,-2.08968066345839,-1.8682105263751136,-1.642240411182824,-1.4118241780802698
mp-1208493,Ta20Te5S3,Monoclinic,C2/c,False,0.09256463350000033,-0.3557947659821435,28.0,-10.057882050977536,-10.07113969861485,-10.12988714255253,-10.19675568180057,-10.15265715217501,-10.018670305872824,-9.700702924933804,-9.352551301124407,-8.972353226852988,-8.559019759461655,-7.821524012588512,-7.128343055706964,-6.405568015505267,-5.653428741434759,-4.87212925701305,-4.06185842811346,-3.2228060409944277
