MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom"
mp-1217175,Ti5 Cu2 S10,Ti5 Cu2 S10,-1.436263879,-1.5734403
mp-1078537,Pr2 Lu2 S6,Pr1 Lu1 S3,-2.391086762,-2.4936566
mp-541895,Na8 Re12 S24,Na2 Re3 S6,-0.992927088,-1.108236
mp-1337045,Ca2 Fe4 S10,Ca1 Fe2 S5,-0.852082042,-1.0374506
mp-5193,Sr4 Zr4 S12,Sr1 Zr1 S3,-2.077214804,-2.1848023
mp-1190364,Li8 Sn4 S12,Li2 Sn1 S3,-1.131851622,-1.2188958
mp-767553,Li28 Sb8 S4,Li7 Sb2 S1,-0.823478152,-0.84869325
mp-37183,Sr2 Gd4 S8,Sr1 Gd2 S4,-2.336525707,-2.4891539
mp-14089,Tl2 Cu2 S4,Tl1 Cu1 S2,-0.471226566,-0.6202541
mp-1197880,Er8 Ag8 S16,Er1 Ag1 S2,-1.557108274,-1.6342434
mp-17980,K8 Mo4 S16,K2 Mo1 S4,-1.108230577,-1.3228675
mp-1096842,Ba6 Sn2 S10,Ba3 Sn1 S5,-1.800307834,-1.9160193
mp-1218002,Ta2 Mo1 S6,Ta2 Mo1 S6,-1.302854133,-1.4326414
mp-19804,In2 Co3 S2,In2 Co3 S2,-0.321274862,-0.53826475
mp-21964,Tl4 Cu28 S16,Tl1 Cu7 S4,-0.327291723,-0.41431955
mp-561511,Fe4 As4 S4,Fe1 As1 S1,-0.61334042,-0.7037938
mp-774745,Li12 Cu4 S12,Li3 Cu1 S3,-0.981519534,-1.1169647
mp-1208432,Ta6 Mn2 S12,Ta3 Mn1 S6,-1.313102151,-1.4499036
mp-1225337,Dy4 Mn1 S7,Dy4 Mn1 S7,-2.156988413,-2.1997492
mp-7295,Rb1 Cr5 S8,Rb1 Cr5 S8,-1.089600407,-1.1690336
mp-754052,Li3 Fe4 S6,Li3 Fe4 S6,-0.83242109,-0.9673821
mp-1215520,Zn2 Ge1 S3,Zn2 Ge1 S3,-0.75686169,-0.8795855
mp-1102762,Sm4 As4 S4,Sm1 As1 S1,-1.731975212,-1.7991652
mp-1232071,Nd16 Mg8 S32,Nd2 Mg1 S4,-2.112752422,-2.2269993
mp-1188392,Li4 In4 S8,Li1 In1 S2,-1.127242539,-1.2799832
mp-1105549,Ba4 Hf4 S12,Ba1 Hf1 S3,-2.139200686,-2.2384613
mp-37070,Pr4 Sm2 S8,Pr2 Sm1 S4,-2.291501157,-2.4163005
mp-1103889,Eu2 Al4 S8,Eu1 Al2 S4,-1.655673241,-1.8139333
mp-1247747,Ta1 Cr3 S8,Ta1 Cr3 S8,-1.000188341,-1.1206648
mp-10953,Sc4 Cd2 S8,Sc2 Cd1 S4,-1.793571593,-1.9594333
mp-9368,Rb1 Tm1 S2,Rb1 Tm1 S2,-2.092241661,-2.1808932
mp-616544,Rb2 Cr6 S10,Rb1 Cr3 S5,-1.109504842,-1.19012
mp-1238817,Li2 Cr4 S8,Li1 Cr2 S4,-1.092606321,-1.1953425
mp-15999,Li6 Au2 S4,Li3 Au1 S2,-1.188375173,-1.2626309
mp-28383,K4 Na4 S4,K1 Na1 S1,-1.285518808,-1.2929579
mp-1018632,Ho1 Cu2 S2,Ho1 Cu2 S2,-0.965272918,-1.2208989
mp-1106183,Li4 Al4 S8,Li1 Al1 S2,-1.475958337,-1.6458576
mp-1104162,Mn4 Zn2 S8,Mn2 Zn1 S4,-0.910286642,-1.0162596
mp-686094,Ti36 Cu12 S72,Ti3 Cu1 S6,-1.485946756,-1.5816267
mp-557655,Gd1 Tl1 S2,Gd1 Tl1 S2,-1.732895615,-1.8598098
mp-6959,Ga2 Ni1 S4,Ga2 Ni1 S4,-0.824087642,-0.9309543
mp-1096832,Al8 Zn2 S14,Al4 Zn1 S7,-1.15394405,-1.3874466
mp-4123,Er1 Tl1 S2,Er1 Tl1 S2,-1.73406794,-1.8927246
mp-1248520,Al20 Bi12 S48,Al5 Bi3 S12,-0.973443429,-1.0543355
mp-22332,Ta1 In1 S2,Ta1 In1 S2,-1.10424949,-1.2067989
mp-630328,Ba12 Fe4 S20,Ba3 Fe1 S5,-1.761267767,-1.8541195
mp-1191745,Sm8 Ni2 S14,Sm4 Ni1 S7,-1.918912605,-2.0773952
mp-1216058,Y2 Te1 S2,Y2 Te1 S2,-2.132069582,-2.15509
mp-9538,Ag6 As2 S8,Ag3 As1 S4,-0.14053708,-0.48356736
mp-1222528,Lu2 Cu6 S6,Lu1 Cu3 S3,-0.989806564,-1.1238343
mp-20708,In2 Ni3 S2,In2 Ni3 S2,-0.54809964,-0.58290714
mp-622086,La8 Ge4 S20,La2 Ge1 S5,-1.83345575,-1.9320962
mp-27660,Ba1 Fe2 S4,Ba1 Fe2 S4,-1.149749231,-1.2335384
mp-1221502,Mn1 Zn1 S2,Mn1 Zn1 S2,-1.021535609,-1.0033102
mp-5928,Al2 Cd1 S4,Al2 Cd1 S4,-1.14668341,-1.3507705
mp-1103471,La4 As4 S4,La1 As1 S1,-1.900869981,-1.8905447
mp-1215447,Zn1 Hg1 S2,Zn1 Hg1 S2,-0.678704489,-0.8052139
mp-1443364,Zn2 Ni4 S8,Zn1 Ni2 S4,-0.649955033,-0.8148502
mp-1213664,Hg1 Mo6 S12,Hg1 Mo6 S12,1.145179714,-0.3098234
mp-1245981,Y4 Pt4 S14,Y2 Pt2 S7,-1.241297142,-1.5323541
mp-1189296,Ce4 B4 S12,Ce1 B1 S3,-1.517305853,-1.6345311
mp-1222003,Mg1 Cd1 S2,Mg1 Cd1 S2,-1.16627863,-1.3021079
mp-3592,K4 Au4 S20,K1 Au1 S5,-0.406527113,-0.87063867
