,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,Hd_MP,Hd_MEGNET
50,mp-3647,Li4 Ga4 S8,Li1 Ga1 S2,-1.187989849,-1.3631912,0.175201351,-1.2431912,0.055201351,-0.110761629,-0.076603474
51,mp-1226713,Ce1 Dy4 S7,Ce1 Dy4 S7,-2.34928957,-2.4335585,0.08426893,-2.3135585,0.03573107,0.030274012,0.044423505
52,mp-1211293,La2 Y6 S12,La1 Y3 S6,-2.438558226,-2.538033,0.099474774,-2.418033,0.020525226,-0.008315458,-0.002615616
53,mp-1045465,Y2 Ti4 S8,Y1 Ti2 S4,-1.854004145,-1.9602704,0.106266255,-1.8402704,0.013733745,0.088363734,0.109277362
54,mp-541447,K12 Fe8 S16,K3 Fe2 S4,-0.904181758,-1.1655923,0.261410542,-1.0455923,0.141410542,0.142223413,0.008651886
55,mp-1196123,Nd8 Hf4 S20,Nd2 Hf1 S5,-2.186686634,-2.3293717,0.142685066,-2.2093717,0.022685066,-0.016173002,-0.016535068
56,mp-1103410,Bi6 Te4 S2,Bi3 Te2 S1,-0.436967077,-0.4576754,0.020708323,-0.3376754,0.099291677,0.050318499,0.125155869
57,mp-1238827,Cr4 Ag2 S8,Cr2 Ag1 S4,-0.83287382,-0.9822997,0.14942588,-0.8622997,0.02942588,-0.045198125,-0.072049651
58,mp-28134,Ba16 As16 S40,Ba2 As2 S5,-1.368440025,-1.4410787,0.072638675,-1.3210787,0.047361325,-0.09781481,-0.046947179
59,mp-13993,Ti3 Ni1 S6,Ti3 Ni1 S6,-1.493373888,-1.6217333,0.128359412,-1.5017333,0.008359412,-0.004038196,-0.011251787
60,mp-685513,Pr24 Mn4 S40,Pr6 Mn1 S10,-2.1721191,-2.2301295,0.0580104,-2.1101295,0.0619896,0.048541625,0.062832783
61,mp-1101049,Ti5 Tl1 S8,Ti5 Tl1 S8,-1.598436031,-1.6978139,0.099377869,-1.5778139,0.020622131,-0.015277682,0.007066347
